エージェント	books	loop-ephemeral-agent	90	249	yes	no	245	4
Claude エージェント	books	loop-ephemeral-agent	43	89	yes	no	89	0
Claude Code	books	loop-ephemeral-agent	87	233	yes	no	231	2
