エージェント	books	loop-ephemeral-agent	85	251	yes	no	248	3
Claude エージェント	books	loop-ephemeral-agent	38	90	yes	no	90	0
Claude Code	books	loop-ephemeral-agent	88	236	yes	no	235	1
