rank	path	liked_count	price	published_at	body_updated_at
72	smallworkslab/ai-two-agent-sidebiz-ops	0	500	2026-07-10T14:27:21.442+09:00	2026-07-10T14:15:31.228+09:00
73	keithval/claude-code-ops-guide	0	1000	2026-07-09T02:55:10.126+09:00	2026-07-11T10:38:38.787+09:00
74	narita1980/claude-code-loop-practical	1	0	2026-07-05T15:55:43.403+09:00	2026-07-05T15:55:49.587+09:00
75	aria3/claude-code-autonomous-agents	1	1500	2026-07-03T10:06:23.869+09:00	2026-07-03T10:11:45.331+09:00
76	itsuya/2026-claude-code-sdk-pr-ci-6f7e7f94	0	500	2026-06-22T17:28:23.313+09:00	2026-06-22T17:28:25.580+09:00
77	dev_shota/claude-code-practical-ops-guide	2	1000	2026-06-20T00:44:04.198+09:00	2026-06-20T05:31:04.405+09:00
78	zaspa/8162519ed9787f	6	0	2026-06-13T16:22:21.845+09:00	2026-06-13T16:22:14.751+09:00
79	todo_inc/be87a733eb854e	0	1500	2026-08-15T23:10:00.920+09:00	2026-08-15T23:06:04.063+09:00
80	takenori_kusaka/pit-in-process	0	0	2026-08-08T10:19:54.154+09:00	2026-09-16T21:04:20.648+09:00
81	takepon7/delegate-code-not-judgment	2	1500	2026-06-27T11:37:39.804+09:00	2026-06-26T23:35:12.754+09:00
82	vtf/opencode-ollama-cloud-henyo	1	800	2026-06-18T14:32:43.731+09:00	2026-06-17T16:38:38.619+09:00
83	dehio3/claude-dir-reference	1	0	2026-06-17T22:06:10.783+09:00	2026-06-18T08:34:46.141+09:00
84	indiedev_lab/claude-code-tsukaeru-made	0	0	2026-06-14T18:37:47.734+09:00	2026-06-13T23:53:00.817+09:00
85	tottoko_hamu/configuring-claude-code-without-code	2	900	2026-06-11T17:30:13.398+09:00	2026-07-05T21:47:42.032+09:00
86	ioriorigin/loop-ephemeral-agent	0	0	2026-09-17T22:37:48.160+09:00	2026-09-18T22:17:05.366+09:00
87	sirajirasajiki/cf6ed71e902d15	0	0	2026-08-31T17:47:22.324+09:00	2026-08-31T17:43:47.369+09:00
88	ayaextech_fill/deterministic-codegen-with-llm	0	0	2026-08-04T18:21:59.817+09:00	2026-08-04T18:22:07.322+09:00
89	imu_imu/claude-advanced	1	0	2026-07-30T21:34:19.521+09:00	2026-08-11T20:05:09.857+09:00
90	ekusibhrm/laravel-claude-code-guide	0	1200	2026-07-13T20:00:21.590+09:00	2026-07-27T01:45:36.690+09:00
91	midking/fable5-koikoi-midking	1	1000	2026-07-10T02:34:43.010+09:00	2026-07-10T01:52:03.204+09:00
92	tuvy22686/5a414a638331f9	0	1500	2026-06-22T20:09:27.563+09:00	2026-06-22T20:09:02.348+09:00
93	pachiraworks/efef7114aae5b9	0	200	2026-06-12T11:42:48.727+09:00	2026-06-12T14:59:18.979+09:00
94	shun_producer/ec714f88e8b148	0	500	2026-06-08T21:16:25.692+09:00	2026-06-08T21:14:34.135+09:00
95	mamanbou/fa1bd1d024bd6b	0	500	2026-06-08T00:52:05.735+09:00	2026-06-07T22:32:48.771+09:00
96	riku2025/agent-role-separation-kit	0	2000	2026-07-30T21:15:58.068+09:00	2026-07-30T21:56:09.101+09:00
97	jidoka_lab/ai-agent-automation	0	1000	2026-07-14T15:30:08.098+09:00	2026-08-01T19:01:30.281+09:00
98	masayan1126/claude-agent-skills-developer-guide	0	300	2026-07-10T08:57:02.770+09:00	2026-07-10T08:57:11.809+09:00
99	aimakerlab/bead6d47a62b9d	0	1000	2026-07-07T12:24:02.591+09:00	2026-07-07T12:07:13.894+09:00
100	tottoko_hamu/building-agent-team-with-claude-code	1	500	2026-07-04T20:54:22.918+09:00	2026-07-05T21:47:40.667+09:00
101	hopetekigozaru/ai-driven-company	1	0	2026-07-03T16:59:23.002+09:00	2026-07-03T16:55:54.262+09:00
102	yushiyamamoto/non-engineer-ai-automation	0	800	2026-06-28T20:42:13.334+09:00	2026-06-28T14:56:19.462+09:00
103	minewo/plangate-guide	1	0	2026-06-02T06:14:19.374+09:00	2026-06-02T06:14:24.880+09:00
104	tottoko_hamu/writing-with-ai-team-without-code	1	900	2026-06-01T16:26:58.785+09:00	2026-07-05T21:47:49.786+09:00
105	sin9_ha/claude-code-real-saas	1	1000	2026-05-31T22:34:58.035+09:00	2026-06-28T09:57:55.991+09:00
106	clown_viper/482693b5bb9af8	0	0	2026-05-30T01:14:43.426+09:00	2026-06-17T18:36:34.350+09:00
107	ml_bear/f2d52a3bc0b33c	100	500	2026-04-06T09:27:23.835+09:00	2026-04-08T01:33:28.367+09:00
108	takenori_kusaka/ganbari-quest-design	0	0	2026-09-16T21:03:48.534+09:00	2026-09-16T21:04:16.085+09:00
109	mugen_web/claude-code-laravel-jitsumu	0	1000	2026-09-13T19:22:58.619+09:00	2026-09-16T11:13:55.265+09:00
110	chobitnet/loop-engineering-harness	0	500	2026-09-05T19:03:00.609+09:00	2026-09-10T04:51:32.971+09:00
111	tottoko_hamu/operating-ai-team-without-code	2	900	2026-05-25T15:46:47.318+09:00	2026-07-05T21:47:46.768+09:00
112	sktt_panda/claude-code-handson	1	500	2026-05-23T09:33:48.470+09:00	2026-05-23T09:46:42.474+09:00
113	shibuty/547b57fc22a4da	0	1500	2026-06-16T23:16:02.015+09:00	2026-06-16T22:40:28.298+09:00
114	imu_imu/claude-beginner	1	0	2026-06-10T19:38:24.249+09:00	2026-08-11T20:05:12.918+09:00
115	yuden/playwright-pom-fixtures-ai-era	45	0	2026-04-26T18:52:13.949+09:00	2026-06-23T18:30:55.604+09:00
