エージェント	books	loop-ephemeral-agent	85	250	yes	no	246	4
Claude エージェント	books	loop-ephemeral-agent	40	90	yes	no	90	0
Claude Code	books	loop-ephemeral-agent	88	236	yes	no	235	1
